ncalls	tottime	percall	cumtime	percall	function
15	0.4867	0.03245	0.4867	0.03245	method 'commit' of 'sqlite3.Connection' objects
1	0.01692	0.01692	0.01692	0.01692	method 'executescript' of 'sqlite3.Cursor' objects
3820	64.28	0.01683	64.28	0.01683	method 'poll' of 'select.epoll' objects
2	0.01048	0.005241	0.01048	0.005241	__m2crypto.ec_key_gen_key
31075	162	0.005212	162	0.005212	__m2crypto.ecdsa_verify
1650	7.133	0.004323	7.74	0.004691	__m2crypto.ecdsa_sign
1	0.001708	0.001708	0.001708	0.001708	_socket.gethostbyaddr
1	0.001284	0.001284	0.001284	0.001284	built-in method SSL_library_init
567	0.565	0.0009965	0.5652	0.0009968	method 'executemany' of 'sqlite3.Cursor' objects
8	0.005731	0.0009552	0.9567	0.1595	__import__
12	0.01083	0.0009029	0.01083	0.0009029	method 'connect_ex' of '_socket.socket' objects
1	0.00055	0.00055	0.00055	0.00055	built-in method SSL_load_error_strings
5	0.002515	0.000503	0.002515	0.000503	method 'recv' of '_socket.socket' objects
6989	3.436	0.0004917	3.436	0.0004917	method 'executemany' of 'apsw.Cursor' objects
1	0.000485	0.000485	0.000485	0.000485	dir
63677	20	0.000314	20	0.000314	method 'execute' of 'apsw.Cursor' objects
5546	1.38	0.0002488	1.38	0.0002488	__m2crypto.ec_key_read_pubkey
15943	3.414	0.0002141	3.414	0.0002141	method 'sendto' of '_socket.socket' objects
44	0.009405	0.0002137	0.009405	0.0002137	open
1	0.000212	0.000212	0.000212	0.000212	built-in method OpenSSL_add_all_algorithms
2	0.000405	0.0002025	0.000405	0.0002025	__m2crypto.ec_key_new_by_curve_name
2	0.000394	0.000197	0.000394	0.000197	netifaces.interfaces
296	0.05179	0.000175	0.188	0.0006351	method 'sort' of 'list' objects
5	0.000826	0.0001652	0.000826	0.0001652	__m2crypto.ec_key_read_bio
1	0.000147	0.000147	0.000147	0.000147	__m2crypto.rand_seed
4	0.00058	0.000145	0.00058	0.000145	netifaces.ifaddresses
47	0.005664	0.0001205	0.005664	0.0001205	androidembed.log
12	0.001445	0.0001204	0.001445	0.0001204	thread.start_new_thread
8	0.000936	0.000117	0.000936	0.000117	posix.mkdir
2240	0.2615	0.0001167	0.2615	0.0001167	posix.open
17	0.001964	0.0001155	0.001964	0.0001155	compile
3	0.00034	0.0001133	0.00034	0.0001133	__m2crypto.ec_key_write_bio_no_cipher
5553	0.6196	0.0001116	0.6196	0.0001116	__m2crypto.ec_key_write_pubkey
7	0.000777	0.000111	0.000777	0.000111	method 'send' of '_socket.socket' objects
140069	15.4	0.00011	15.4	0.00011	method 'execute' of 'sqlite3.Cursor' objects
16	0.001759	0.0001099	0.001759	0.0001099	method 'shutdown' of '_socket.socket' objects
